SA2_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
211031451,40,35,75,0,3,5,0,0,0,39,32,80,6421,7235,13660,188,223,407,6655,7491,14139
211031452,25,14,35,4,0,8,0,0,0,24,13,41,2281,2457,4740,57,58,114,2367,2531,4898
211041269,13,18,36,0,0,0,0,0,0,16,18,33,4980,5463,10446,146,157,301,5139,5636,10780
211041270,26,36,60,0,0,0,0,3,0,24,39,67,7934,8460,16390,168,172,338,8126,8667,16795
211041271,17,26,40,0,0,0,0,0,0,24,26,45,5758,6063,11818,263,288,551,6041,6371,12413
211041272,12,20,36,0,0,0,0,5,5,12,21,35,5281,5507,10786,80,89,171,5382,5614,10993
211041273,6,14,23,0,0,0,0,0,0,10,14,19,5625,6075,11697,110,130,241,5744,6210,11954
211051274,26,25,51,0,0,0,0,3,3,28,25,50,4843,4804,9646,158,152,315,5027,4979,10005
211051275,55,29,83,3,5,4,5,0,0,59,36,91,5540,5793,11330,178,174,354,5780,5995,11779
211051276,161,196,354,4,9,17,6,0,6,166,203,373,6379,6681,13056,309,330,639,6854,7210,14065
211051277,53,70,122,0,0,4,3,0,3,50,72,124,4549,4961,9509,141,137,276,4742,5173,9916
211051278,119,120,239,7,3,12,0,5,6,130,126,260,9122,9583,18704,325,311,638,9575,10023,19599
211051279,14,9,25,4,0,4,0,0,0,15,9,29,2801,2772,5577,113,93,209,2937,2879,5816
211051280,26,18,37,0,0,0,0,0,0,28,18,44,3293,3428,6722,100,83,178,3418,3526,6943
211051281,103,77,180,10,8,12,3,0,9,118,87,204,11039,11297,22340,315,286,601,11474,11671,23146
211051282,39,37,77,0,4,5,0,5,7,42,44,80,4661,4639,9303,166,153,317,4868,4836,9706
211051283,50,45,93,0,0,5,0,0,0,53,47,101,4724,4806,9533,82,79,164,4863,4937,9799
211051284,14,24,37,0,0,5,0,0,0,13,25,40,4747,4786,9533,114,95,212,4878,4898,9777
211051285,34,39,72,3,0,3,0,0,3,36,36,77,3719,3853,7571,136,114,251,3900,4009,7902
211051286,113,103,215,0,0,4,0,0,3,113,107,220,7738,7727,15468,592,517,1107,8447,8355,16799
212011289,64,61,123,3,4,9,3,4,3,72,67,141,8801,8597,17398,558,536,1095,9430,9202,18633
212011546,59,56,118,4,0,4,0,3,3,62,57,126,11229,11586,22819,347,347,691,11644,11994,23632
212011547,62,45,107,0,0,5,3,0,3,64,52,108,4522,4547,9068,344,349,691,4929,4946,9868
212011548,54,64,118,4,4,6,0,0,3,64,65,130,4653,4779,9430,271,245,509,4979,5091,10069
212011549,68,102,171,7,0,9,0,0,3,82,104,186,7118,7440,14554,333,363,697,7533,7909,15441
212011550,38,40,80,0,0,0,3,0,3,42,40,86,3447,3748,7190,100,100,197,3590,3891,7479
212011551,41,45,84,0,0,0,0,0,0,42,41,88,2901,3019,5914,196,238,433,3141,3298,6439
212011552,119,157,269,7,7,13,4,0,0,125,162,281,12495,12973,25465,509,523,1035,13125,13658,26783
212021293,45,44,89,0,0,3,3,0,3,51,41,95,10429,11614,22041,377,446,825,10858,12102,22963
212021295,50,51,103,4,0,6,0,0,0,58,57,113,5747,5224,10974,441,367,807,6245,5645,11889
212021297,17,19,35,4,0,7,0,0,0,17,22,40,5419,5422,10843,308,290,595,5740,5731,11472
212021299,17,23,37,0,0,0,0,0,0,17,23,37,3938,3957,7894,155,148,310,4107,4135,8241
212021453,30,46,71,3,6,3,0,0,0,30,45,79,5762,5746,11505,259,249,504,6050,6036,12086
212021454,17,19,34,0,0,0,0,0,0,17,21,37,6439,6349,12792,292,240,532,6748,6610,13360
212021455,43,46,84,0,0,0,3,3,5,41,51,93,6450,6443,12886,265,258,527,6759,6750,13504
212021456,41,72,115,3,0,5,0,0,0,48,80,124,6918,6960,13876,366,394,757,7332,7431,14758
212021553,28,47,75,4,5,10,3,0,5,36,49,82,8540,8627,17165,260,257,513,8831,8927,17760
212021554,30,31,57,0,0,0,0,0,0,30,31,57,5422,5419,10845,174,173,350,5627,5624,11254
212031300,110,108,218,4,4,7,3,0,3,117,115,233,9895,9712,19612,720,723,1447,10735,10544,21281
212031303,99,69,168,4,5,10,4,0,4,110,76,179,8126,8481,16606,312,303,616,8549,8860,17400
212031304,83,82,169,0,3,3,0,0,0,83,82,171,10185,10445,20628,376,359,737,10646,10890,21535
212031306,17,18,36,0,0,0,0,0,0,22,17,39,8697,8736,17432,292,263,555,9014,9018,18027
212031308,50,52,103,3,6,9,0,3,4,54,54,110,3858,3653,7508,225,186,408,4137,3893,8024
212031457,21,29,50,0,0,0,0,0,0,21,31,49,6437,6385,12824,142,131,274,6600,6550,13152
212031458,55,59,110,0,0,3,0,5,7,55,60,121,7980,8096,16074,261,260,521,8298,8419,16713
212031555,22,19,43,0,0,0,0,0,3,25,26,45,4969,5240,10209,127,150,282,5121,5416,10535
212031556,24,23,48,0,0,0,0,0,0,25,23,49,7141,7167,14304,231,216,447,7394,7408,14802
212031557,86,89,172,0,0,0,7,0,4,93,90,186,11089,11303,22387,427,420,841,11605,11806,23415
212031558,39,42,84,5,5,5,0,0,0,47,47,96,5744,5967,11713,245,236,484,6039,6254,12289
212031559,34,14,51,0,0,0,0,4,6,39,17,58,6135,6228,12366,178,175,350,6354,6415,12772
212031560,56,57,109,0,0,3,0,0,0,60,60,114,5608,5628,11240,281,270,550,5952,5954,11910
212031561,31,37,71,0,0,4,0,0,4,39,35,76,6070,5872,11933,367,338,706,6477,6243,12715
212031562,49,60,110,0,4,6,0,0,3,53,61,114,6400,6097,12506,390,363,750,6842,6528,13368
212041309,12,7,15,0,0,0,0,0,0,10,9,22,5520,5682,11201,166,171,335,5696,5860,11554
212041310,18,16,34,0,0,0,0,0,0,18,16,34,6626,6216,12843,266,232,506,6911,6476,13381
212041312,67,76,138,4,3,8,0,0,4,68,79,153,10731,10502,21239,599,546,1143,11400,11128,22526
212041313,22,10,33,0,0,0,0,0,0,20,10,31,5015,5192,10205,139,125,260,5169,5322,10499
212041316,17,17,37,0,4,5,0,0,0,18,20,35,3591,3530,7124,150,145,295,3759,3699,7456
212041317,21,15,40,0,0,0,0,0,0,24,20,45,10923,10341,21266,490,443,937,11440,10800,22248
212041318,13,16,29,0,0,0,0,0,0,13,16,29,6090,6140,12226,196,172,372,6299,6325,12621
212041459,39,30,74,3,4,9,0,0,0,39,42,81,6099,5871,11971,363,325,689,6500,6236,12739
212041460,17,23,39,0,3,4,0,0,3,15,32,48,9316,9440,18754,412,371,780,9745,9842,19591
212041563,56,60,119,3,5,11,3,3,4,65,65,131,10134,9386,19519,1059,777,1838,11256,10228,21487
212041564,10,16,29,0,0,0,0,0,0,10,16,29,4558,4222,8783,300,242,541,4874,4478,9350
212041565,19,15,35,0,0,0,0,0,0,20,15,38,7274,7309,14588,224,247,468,7524,7573,15096
212041566,13,12,23,0,4,4,0,0,0,13,15,30,7342,7453,14799,142,127,269,7500,7603,15093
212051319,38,38,72,0,0,3,0,5,3,39,39,81,9261,9474,18745,374,315,686,9678,9829,19507
212051321,17,4,23,0,0,0,0,0,0,17,6,25,10378,10678,21059,252,273,523,10648,10955,21603
212051322,20,21,43,0,0,0,0,0,4,22,28,46,10045,10200,20240,364,386,751,10429,10611,21036
212051323,13,14,26,0,0,0,0,0,0,13,16,27,7648,7964,15615,215,219,432,7875,8198,16073
212051324,14,30,45,0,0,0,0,0,0,14,29,44,9207,9501,18711,268,235,509,9496,9769,19265
212051325,25,24,49,0,0,4,0,0,0,29,27,55,9630,9647,19277,322,231,549,9982,9903,19889
212051326,43,39,79,3,0,3,0,0,3,48,36,86,10945,11128,22075,390,375,765,11380,11547,22928
212051327,11,17,28,3,0,3,0,5,4,14,24,35,9681,10236,19912,322,380,705,10022,10635,20652
212051567,34,26,57,0,0,0,0,3,4,33,28,61,4667,4274,8942,510,317,825,5212,4615,9829
212051568,14,11,32,0,0,0,0,0,0,14,18,34,6112,5289,11398,343,277,622,6466,5581,12052
213011328,32,20,52,0,0,0,0,0,0,29,18,48,3590,3312,6902,310,237,548,3933,3569,7502
213011329,4,8,16,0,0,0,0,0,0,4,8,16,4777,4950,9731,154,145,296,4940,5103,10038
213011331,9,19,34,0,0,0,0,0,0,17,19,30,3781,3926,7710,175,162,334,3975,4110,8077
213011332,29,32,65,0,0,0,0,0,5,32,35,70,6107,6339,12447,312,253,568,6455,6628,13082
213011333,37,23,62,0,0,0,0,0,3,39,32,72,6548,6600,13147,390,376,765,6983,6997,13983
213011334,29,31,62,4,0,4,0,3,3,33,36,68,9482,9405,18882,871,755,1625,10378,10201,20581
213011335,33,44,77,0,0,0,0,0,0,33,44,77,7940,7907,15848,783,746,1532,8759,8701,17454
213011336,28,21,50,0,0,3,0,3,3,33,29,57,4556,4316,8869,286,223,514,4871,4567,9445
213011337,21,23,45,0,0,0,0,0,0,25,23,47,5629,5682,11310,348,347,690,5990,6051,12047
213011338,45,55,97,0,0,0,0,0,0,45,55,97,8828,8649,17478,514,472,983,9385,9173,18558
213011339,35,30,67,0,0,3,0,0,0,36,35,73,5523,5661,11181,236,238,474,5797,5934,11726
213011340,25,38,59,0,0,3,0,0,0,28,37,63,8142,8278,16414,224,212,436,8384,8524,16910
213011569,41,33,77,0,0,0,0,0,0,41,35,72,8455,8364,16824,584,527,1107,9081,8930,18004
213011570,11,10,28,0,0,0,0,0,0,15,10,28,4161,4138,8300,171,149,320,4347,4306,8653
