SA2_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
217011422,171,150,322,9,5,10,3,0,3,180,153,332,5019,5234,10250,329,313,644,5529,5700,11230
217011423,66,62,124,0,0,0,0,0,0,64,59,126,2916,2844,5760,206,200,413,3191,3108,6301
217031471,14,8,27,0,0,0,0,0,0,14,15,31,1565,1672,3238,110,109,222,1693,1798,3491
217031472,93,94,185,0,8,5,0,0,0,95,101,197,5876,6114,11994,284,287,568,6256,6503,12756
217031473,39,18,58,0,0,0,0,0,0,39,18,58,2707,2514,5223,205,182,388,2951,2721,5669
217031474,34,26,67,5,5,7,0,0,0,39,37,76,2465,2467,4933,215,174,387,2717,2678,5395
217031475,44,57,95,0,0,0,0,0,0,44,57,95,3392,3221,6615,247,223,473,3682,3499,7180
217031476,23,29,58,0,0,0,0,0,0,27,34,57,1755,1740,3503,237,211,447,2025,1986,4008
217041477,53,79,130,0,0,0,6,0,6,64,79,139,3212,3202,6417,242,218,463,3517,3496,7018
217041478,75,76,156,0,0,3,0,0,0,82,77,158,4528,4749,9275,294,288,584,4903,5113,10014
217041479,235,221,455,3,0,3,9,0,9,245,224,470,10013,10865,20878,526,532,1060,10782,11624,22405
217041480,120,110,228,7,0,7,0,0,0,127,110,236,5918,6494,12417,370,322,689,6412,6926,13337
297979799,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,24,3,27,36,6,38
299999499,241,206,448,4,3,9,0,0,4,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
